id,video_id,time,author,text,lable
Ugh-Jtym2pEQ8HgCoAEC,wObv3OVPk30,4 years ago,Anton Bidenko,дура неадекватна як таку дитину можна виховати це ж треба бути генетично повними дебілами вибачте на слові,
UgiWc6qmfKLuZ3gCoAEC,eRNgCIsFhAo,4 years ago,Марина Місюра,слава україні ,
UghNr3qitG6qhngCoAEC,t8u6l6BNEb0,4 years ago,TACTRecords,ну что граждане долбоебы добились революции вот теперь и захлебнетесь в ней какие же идиоты в этом мире живут да я не из россии и не из израиля,
Ugh8sQxhZ8IwengCoAEC,emN4Sz3uasU,1 year ago,Анатолий Пряник,элита,
UgwIZt4oc6nRU1UdI5J4AaABAg,zCmV4dX5tgs,4 months ago,Marine Nusisa, год интересно хакамада по прежнему считает что мы должны завидовать украине а ведь это и на их либералов вина за этот бардак надували самостийным самомнением укробандеролибердю как жабу соломинкой,
UggWRM8MM2SI0HgCoAEC,zCmV4dX5tgs,2 years ago (edited),Любовь Земная,хакамада блин с такими ушами спаниеля вместо груди ходить без бюстгалтера недопустимо,
UgjajL858toU4XgCoAEC.7-H0Z7-008V7-Jq0CxNrO0,yjMs_vAV6S8,4 years ago,Dima Kopiy,мастер мастеровичты продолжай верить в снайперов и убеждать себя в этом камень видят все кроме тебя и да аргументы закончились перешел на оскорбления научись аргументировать свою точку зрения бездоказательная база это признак бандитской власти,
UggR6y1PpqHk83gCoAEC,8SqTaE4-5a4,3 years ago,анатолий бородин,вопрос простой чего вы добились,
Ugg63WuNrdDP5XgCoAEC,IC7sx75-A0Q,4 years ago,Eugene German,маячня пісня разом нас багато грінджолів була набагато краща музика ніяка реп читає ніяк,
Ugi9cHk1g0KwRngCoAEC.7-H0Z7-32RU7-ILhC9XWMh,IQFGSfk7NZs,4 years ago,Андрій Писок,"игорь федченко
перестаньте писати дурниці і ображати величезну кількість людей пишучи відверту брехню якщо я не правий аргументуйте сказане вами пруфлінками і конкретними доказами інакше це просте балабольство і з вами просто немає про що говорити",
UgiFf2P_iaEx83gCoAEC,5eTgme4dcFg,4 years ago,кирилл б,ты скажи что на ваших каналах говорят правду да еще больше хуйни лучше россию смотреть,
UgiBWkMKN0XG-XgCoAEC.8B-CxsV-gkx8IVaem2gfK7,_k-gDXrfu-s,1 year ago,гауптштурмфюрер,"любитель краватокмишико теж говорив що будемо жити як при панді через років 
майдауни де безвіз суки",
UghOPCzNJjOytHgCoAEC.7-H0Z7-BY887-MVJMbrVCo,8SqTaE4-5a4,4 years ago,Olga Kovalenko,ммммтак у вас там всё нормально говорите,
Ugj3pKxrPV0uoXgCoAEC,sL6UJ9EcxDw,4 years ago,TheVideosyemka,"влада переступила межу
прийде час і народ цю владу порве на шмаття як каддафі порвали",
UgiPY5YgP_g3r3gCoAEC.7-H0Z7-LG9U7-HUcgjPgk2,zCmV4dX5tgs,4 years ago,HungryVovka,с чего вы взяли что выбор за других людей за другую страну как ей развиваться является признаком светлости украина будет развиваться так как она сама хочет и никому она ничего не обязана,
Ugg6cH8mub37AXgCoAEC,CROeNPz2tN8,4 years ago,Anastasiia Shevchuk,яка людина це наш сучасний тг шевченко,
UgiLB1LHT2VeY3gCoAEC.7-H0Z7-PDjR8TOORkW3lXa,E950t1WGiE0,1 year ago,Facker Bob,нетукраинцы великий народнастоящие русичи,
Ugi_RZTQhSMwJHgCoAEC,T6IbEIBhb8o,4 years ago,defelog,ебашь салоедов,
Ugh5UyDH9_zvnHgCoAEC,8SqTaE4-5a4,4 years ago,Daniel Fatahi,вірю в україну,
UgilOTfkkOqWtHgCoAEC,Y9VX0fcUZVs,2 years ago,Alex A,эх вот почему всегда на каждого человека из среднего класса который более менее понимает что нужно стране в будущем всегда есть пост советских пьяниц из рабочего класса которые цепляются за прошлое типо мы были все в ссср и прочее вот серьезно любой кто считает что в ссср было хорого смело идити нахуй ведь вас уже вряд ли можно изменить,
Ugg3HCqhwGefa3gCoAEC.7-H0Z7-5s6q7-fd7BpslPt,eufNblKL65s,3 years ago,"Водки нет, иди домой.","эдуард сидор

ага потому у петьки первого после посещения европы для своих указ был пальцем в носу не ковыряться и не бздеть прилюдно",
Ughoe32_JHqhUngCoAEC,V8B4KOpCSV0,4 years ago,en,"очень верно всё сказано к перечню скотов я бы добавила и российских олигархов смотрите на примере украины как всё быстро может перемениться
удачи тебе парень",
UghIUQ3WT9dmjXgCoAEC.7-H0Z7-EFXV7-H6xPW-l5m,V5uy0IGiWkQ,4 years ago,vulkancrossfire,бла бла бла ты крутой столько пафоса смешно читать,
Ugi5MXTU_HjHzXgCoAEC,7xpI5dMsnEM,4 years ago,IrynaIerne,молодець,
UgijsI6-aorur3gCoAEC,FMdk1D1ktBw,4 years ago,07sergii,де люди це рагулі,
Ugj8lIV1JRSZlngCoAEC.7-H0Z7-0XVj7E-bSpSdvEQ,XQqzud_sl7U,2 years ago,super-puper,апександр невскийскажи что бы главрач психбольницы забрал твой ноут до окончания процедура вылечит тебя только доллар по ,
UginSgw4pv0673gCoAEC.7-H0Z7-ECEe7-H5YHO9GQ6,xTfMbgQqEeg,4 years ago,Иван Расков,деградат по тебе дурка плачет,
Ugj3wQHUA9xeqHgCoAEC.7-H0Z7-Lq4H7-HSRbrZxUO,8SqTaE4-5a4,4 years ago,Одесса за ЕС,поблагодарим за это путлера и бандюковичамы всегда рады мирным гостям из россии но гостей с автоматами мы не стерпим нам война не нужна поверь,
Ugh9kXKjI9JJ03gCoAEC,X9WRKnrBT0s,3 years ago,мозгаправ тен,отличный прикол ,
UggjsKRCUQJLdHgCoAEC.7-H0Z7-TMzU70lfuW6c-CN,xZUzfzTLD4U,3 years ago,Aniland TV,александр каменскихрасшифруй ссср видимо до тебя не дошло что это союз,
Ugj74J1YryOkF3gCoAEC.82kVH0tWCCo86V_Zh1GbrD,E950t1WGiE0,2 years ago,Laspi Group,ксю укрваши фантазии оставляю без комментария,
UgiocB3xM70H7ngCoAEC.7-H0Z7-8Dd67-IXS8wQHET,KUCR8xORoUo,4 years ago,alex palash,дмитрий быляда ты малыш больной вижу по видео ну ничего я же сказал при едем за тобой и семьей и будешь ты плакать и вспоминать всех святых ваших блядских беркутовцев мы еще по киеву как опускали как мы их отстреливали как псов неверных под киевом плакали бедняги просились домой к маме вот и твоя участь такая же будет мусорская подстилка,
UgiZT9UipcSZN3gCoAEC.7-H0Z7-ThAL7-IhY138djt,SwZ_LW9NsUE,4 years ago,Сергей ХОХОЛ,бендеры уебаны,
UggDsCzV5iyH-XgCoAEC.8760Ln0rs4587wMGk3Is3Y,H8ABnhoxhMw,2 years ago,Леонид Алексеев,соловьев считает себя русским ипользуясь покровительством еврея путина нагло гнобит всех кто сомневается в его праве выступать от имени русского народа,
UgjvhG0Ss2Ir33gCoAEC,T6IbEIBhb8o,4 years ago,Al Odes,показушная провоцирующее видео чтоб сбить людей с толку вот и все на самом деле беркут наверняка не стрелял и это какието гандоны в желтых повязках которые наняли наверняка три гандона чтоб людей спровоцировать на бойню между собой ради своих политических целей а вы видетесь на эту хрень уже говорили что на крышах сидели снайперы которые стреляли по очереди и в людей и в беркут ,
UggOZyxRbW_6WXgCoAEC,8SqTaE4-5a4,3 years ago,Ваньк а,хохлам хоть в глаза нассыуже сосут и жопа вся порваннаяа все равно ыц ыц не встанем на колени е е е дэбилыпиздец,
UgiurvYjJBYOPngCoAEC,xZUzfzTLD4U,4 years ago,Же Ме,монтаж хороший но то что там происходит хуйня полная не поддерживаю,
UghGkSgXYH4mzXgCoAEC,t8u6l6BNEb0,4 years ago,Seamanrus,хадьба это чтото типа аллахакбар ,
UghUoAPzPmduKXgCoAEC,8SqTaE4-5a4,4 years ago (edited),mv3rcs scr3vm,це відео не сподобалось віті мижигірському і ом беркутівцям,
UggG3DyCXvXCvXgCoAEC,0U3z72_GuAk,4 years ago,Andrew GB,держись олеся ми з тобою,
Ugj3Gpde_4qI43gCoAEC,GGaQ5BDNouM,4 years ago,PETROVITH RS WRX,первым ету мелодию сыграл на улице офицер полиции в прагетуристка из россии засняла видео и выложила в сеть потом появились ещё около сотни роликов из разных городов мира сейчас к ним присоединился и киевесли красото спасёт мир то возможно музыка его обединитотнесите пианино беркуту путсть поиграют и задумаются над происходящим,
UgjYZ7Y-yjRB53gCoAEC,bkrHEut79Jw,4 years ago,80hamza80,"відсосати в баті ось твій обід інакше заробив гроші йди в ресторан на гривень
на халяву жрати а потім іти і обсирати тих хто тебе кормив ці люди мають стид і совість бидло підарастичне",
UggXdFko1-1M9ngCoAEC,H8ABnhoxhMw,2 years ago,Анастасия Смирнова,разошлась то а ,
UgiQX-bTJnlJwHgCoAEC,0WsJ8-tJeC8,4 years ago,Иосиф Сталин,ну вот теперь стало понятно всем неглупым людям что автор хуеплет какие б умные и интелигентные словишки он тут не писал блять под воттакой интелигентностьютошнит от таких интелигентов скрывается истинная суть мразей продажных повесить на площади суку аминь,
UghMBuxJRDPoqXgCoAEC.7-H0Z7-HC2G7-H6TBKubqV,T6IbEIBhb8o,4 years ago,Donna Soprano,роман иванов из донецкаиди нахуй из россиииди нахуй у меня охуенная страна и мы подчиняться иностранцам не будем если бы вы сами решали без насоса помощия б ниче не говорила,
UggzLDaHkXksj3gCoAEC.7-H0Z7-TW_J717_YrpUvez,IC7sx75-A0Q,4 years ago,Эрик,шалава ты грёбанная смени пластинку а то у тебя все геи или ты других слов не знаешь а ты кто сосулька с объездной,
UgiO5-zp61gBs3gCoAEC,BU3i_j000iA,4 years ago,GONNIGUKKK,деякі люди дуже смішні оскільки вважають що коли нас приймуть в союз негрів арабів і гомиків то жити зразу стане краще основна проблема україни в тому що завжди доводиться вибирати між дияволом і звіром а про те що можна піти в обхід і почати робити свою державу сильною без втручання зовнішніх сил ніхто не думає,
UgiU-YIlov9TdXgCoAEC,FXCliOGt0Jc,4 years ago,Дон Бас,дорогой тебя заждалась я палата,
UghkVLBFfhatoHgCoAEC,T6IbEIBhb8o,4 years ago,Ozzz001,пиздешь эти ака не состоят на вооружении это бэндеры своих хуярят чтоб европе показать а форму у пленных сняли пидоры,
UggPMmKzHavWCXgCoAEC,xyDH0myOLHs,4 years ago,Всякая дребедень,стас ты не волнуйся вот прийдет завтра радикал а не ссыкун янукович скажет фас и перестреляют вас мудил которые в нашей столице гадят,
UgiRCtKjGLzrnXgCoAEC.7-H0Z7-B28J7-KAiJtt4Hl,E950t1WGiE0,4 years ago,Юрий Усов,от куда столько злобы сынок да мне до лампочки где ты что покупать будиш и не злись больше проживёш это тебе говорит мастер меча и мне насрать на ваши бредни которые вы несёте,
UghINYGS3INJqHgCoAEC,eufNblKL65s,4 years ago,AlexandrK,"что путин думает анекдот
телемост народа с ввп анонимный звонок
владимир владимирович вам не стыдно
 ввп
нет мне не стыдно а к вам иван иванович иванов проживающему по адресу ул ленина д кв уже выехали",
Ugi23gmN_djYJ3gCoAEC,KTtAtejbA88,4 years ago,Мир Во всем Мире,"вспоминаю какой богатый был донбасс уехал все бросили не че не нужно было не квартиры не машины не дома не дачи 
в стране раскол скоро львов вернется в польшу а истинно русские земли будут нашими ",
UgiM4QPk7ufY6ngCoAEC,FXCliOGt0Jc,4 years ago,Путин Геть,лалалалалалала,
UggXoDEMT_jktngCoAEC.7-H0Z7-6UA47-HlejCzQJf,8SqTaE4-5a4,4 years ago,Pavlo Shetilov,андрей климанца тебе жаль что на колени ставят не русские а может нах оно нам надо,
UggVo3D0WkR6EXgCoAEC,xZUzfzTLD4U,4 years ago,jadayMisha,в отличие от зомбохрени минимум максимум действия,
UggzLDaHkXksj3gCoAEC.7-H0Z7-TW_J71HSTYSfKd8,IC7sx75-A0Q,4 years ago,дарья соловьева,павел топорков свинья отдыхай не сунь свой нос куда не просятешь смачное сало и радуйся жирдяк,
Ugh230fsej32MHgCoAEC,6HtbdFfaYUc,4 years ago,Александр Павлович,молодцы беркут жестоко конечно но власть надо уважать им несколько раз сказали расходитесь они не послушали и после того как беркут пошёл разгонять сопротивление оказывали так что нормально всё а канал про западный такие лицензий лишать надо,
UghKjQ9edoGZZ3gCoAEC.7-H0Z7-HG3U7-LvgJSm2BG,T6IbEIBhb8o,4 years ago,Andrii Myrkovets,никита степановваших на стороне фашистов больше воевало уже писал ,
UgylpX1cB2YKhTitGKF4AaABAg,8SqTaE4-5a4,6 months ago,Splix,кто с ноября к ,
UgiGcp4eApn4xXgCoAEC,29Im-7fMvtk,4 years ago,Dmytro Vyshnevsкyi,специально чтобы был повод для петуховберкутов пушечное мясо выставили впереди я тоже служил в подобных войсках шакалыофицеры сзади твари,
Ugj9cEroKL20O3gCoAEC.7-H0Z7-Ml-f7-H5kY7h5AJ,7xpI5dMsnEM,4 years ago,Vitalii Ivanov,если так то его нужно судить по закону полицаи ведь должны соблюдать закон а президент должен гарантировать соблюдение конституции и выполнение законов если они этого не выполняют тогда законам вообще не нужно следовать насколько я понимаю ответственность за кидание молотовым предусматривает лишение свободы на срок лет если я не ошибаюсь про раздевание преступника в мороз и фотографирование рядом с голым преступником вроде ничего в уголовном кодексе не предусмотрено,
UghIcr8BDffIyngCoAEC,U3iQHBgl1_8,4 years ago,ivan Zalevskiy,чудово,
Ugid0httjqK1B3gCoAEC,zCmV4dX5tgs,4 years ago,Станіслав Паламар,хакамада молодец баба,
Ugij-DvUn7w4zngCoAEC.7-H0Z7-EfGH7-Ip43aMjQ0,xTfMbgQqEeg,4 years ago,Тоша Шариков,кретинискажает не россияа некоторые российские сми,
UggRcP10HH0O63gCoAEC,eufNblKL65s,1 year ago,анна чирикова,кончаловский мразь втирающая хомячкам про молодой народ молодой да неужели кто гнобил нас а ты кончаловский историю вообще учил назови мне хоть один век со времен руси в котором не было бы войн и борьбы с оккупантами можешь назвать а кто приходил на русь с войнами неся разорение последние лет мразь ты кончаловский,
UggqEuyf03WmCXgCoAEC.7-H0Z7-S4Tb7-H5jg_Azu7,T6IbEIBhb8o,4 years ago,Osiris RhAF,проиграл в голос,
Ugh7kJeHPajn_XgCoAEC.7-H0Z7-SpBM7-gT7CPIsS4,zCmV4dX5tgs,4 years ago,АлексРеал,ну это понятноздесь русская аудитория,
Ughn8bXxp4D_PXgCoAEC.7-H0Z7-6cR970Z2QZhOOX7,GItQLVTo4EI,4 years ago,Vadik Mateichyk,алёна улитинаты к кому обращаешься ,
Ughete2K2ERBDHgCoAEC.7-H0Z7-4hRE7-I3hKaYq6f,jRX9Hq08sGc,4 years ago,A lien,правильное мнение нам не нужна ни европа ни россия ни америка скажет дружно нафик нужно есть украина и есть украинцы почему мы бы нам не создать такое государство к которому другие страны захотели присоединится у нас в стране куча денег просто никто не хочет это,
Ugg2apNCMtYed3gCoAEC.7-H0Z7-M0IZ78IXNfQEBR3,8SqTaE4-5a4,3 years ago,Nika Holly,"я не хочу тебя обидеть но клоунжреновский орал на всю катушку сожжём украину сожжём киев
 ",
Ugi4L7FobtMsAngCoAEC,8SqTaE4-5a4,1 year ago,Отш Ртт,"сша россия украина это страны у которых есть политика и с чего все началось разногласие в политике это подхвотил народ и началась война многие на этом делают деньги продажа оружия и тд сейчас украинцы думую что мы русские и враги несколько лет россия и украина были сестрами а сейчас политика раздилила людей украинцы вы думаете мы все звери и вас так настроили политики путин абама порошенко все хорошы но до этого мы были друзьями и что ‚ политика именно она нас всех так настроила и сейчас многое люди воюют иза этого ссорятся даже если просто прочитать коменты это можно понять 
вас всех стравили а вы это даже не понимаете",
UgjSYcg-anTvlHgCoAEC,zCmV4dX5tgs,4 years ago,Global AzPTA,крашенинникова дешевкаврет ине краснеет,
UggwoAMJG4K5WXgCoAEC.7-H0Z7-0AvN7-HzZDKPlk4,t8u6l6BNEb0,4 years ago,sea side,по опыту знаешь,
Ugi-6NYcrWPh-HgCoAEC,XW6hWPZglv8,3 years ago,Jek Barter,україна ето сила а россия хуй соси нам,
Uggi86CjFK86rngCoAEC.7-H0Z7-FXYV7-JHWUKoIS9,E950t1WGiE0,4 years ago,Serg Maltsev,так путен там вмешался они б конечно сделали но теперь от внешней угрозы им надо как то выстаивать да еще и со своими уродами у власти разбираться непросто это,
UggEns9mA0F_X3gCoAEC.7-H0Z7-TbTS71LrMPdRTGe,gqY8gUuN7_M,4 years ago,Olexanderko,зависть так и раздирает,
UggnZ-3aTFy6QngCoAEC,GGaQ5BDNouM,4 years ago,Alxston,поиграл а потом айда нарушать закон крушить жечь захватывать слава богу пока не расстреливать но я думаю дойдете и до этого,
UggwMZBoJY9FK3gCoAEC.868aeDiVpDm8WhJ1UypeKC,seKRkKwUEdE,9 months ago,Julivines,владимир яковлев они без вас раберутся что им делать и в политику сейчас невозможно не лезть такое время аполитичный безразличный а им не всё равно это видно,
UgheuKIfP-eQx3gCoAEC,TATn7Q207y0,4 years ago,Александр Шарий,внимание гомосячина западенская вылезла из стойла жареным запахло и змееныши повылязили крысюк зэкошенко не хватает только крысы тимошенко весь майдан в палату к тимошенчихе а лучше сразу в дурдом тошнит от всех фууу бля,
UgjsZKjrYosl6ngCoAEC.7-H0Z7-5RaW7-PO8OX7Z63,8SqTaE4-5a4,4 years ago,Алекс Лис,ну ясно ничего конкретного так и думал незачот,
UgjFW0S-0WWMjngCoAEC,SwZ_LW9NsUE,4 years ago,Gold Times,зажигательными по етим зверям гасить надо ебаные продажные суки стоят там за гр,
UggUd3PX2_WxRngCoAEC,eufNblKL65s,3 years ago,"Мастерская ""Золотой-Век""",я русский и горжусь своей кровьюа для того чтобы быть русским нужно жить в своей странестрадать и радоваться вместе с ней прилагать собственные усилия внутри собственного государства и находиться с собственным народом плечом к плечу вот тогда многие факты перестают быть фактами вся статистика которые изложил господин кончаловский по сути являются ложью или сильно преувеличенно и сфабрикована в белом доме комиссией по глобализации лично я живу в чистом спокойном гмоскве часто езжу по стране но всего того о чем вы говорите не наблюдаю да есть проблемы как и в любом другом государстве я давно уже не вижу алкашей возле подъезда поломанных скамеек и детских площадок попрошаек и беспризорников у метро и в метро даже на вокзалах чистота и порядок нет больше в районе авторитетов хулиганов и понятия свойчужой хотяя хорошо помню дворовые бои с цепями и арматурой и сам участвовал лет назад где это теперь и не вижу современную пьяную молодёжь на улицеи сегодня когда я перехожу дорогу по пешеходному переходу автомобилисты нажимают на тормоз и я тоже нажимаю на тормоз потомуто это стало частью культурного отношения к окружающим и так везде по стране может в деревнях это присутствует но масштабы за лет сильно сократились а вот вечерком в ньюйорке в гарлем или южный бронкс с куинсомк примеру заехать можно и не выехать а в москве такого давно уже нет а разве в штатах педофилов бандитов и проституток не хватает наши школьники не стреляют своих одноклассников каждый месяц могу статистику привести написанную в нашем белом домеанатона территории украины нам не надо слава богу крым забрали а дальше больше сравнивать горбачева ельцина и владимира владимировича путина примерно как жоу с пальцем те руководители страну продали а путину все разгребать пришлось за один день такую кучу дерьма на разгребешь на нашей планете все люди братья все имеют одинаковые привычки образ мышления физиологические особенности и строение а кровь на планете проливает алчность похоть и ненависть государства какие государства одно у нас государство голубое а уничтожать целые народы за нефть территориюбезнаказанно можно детей стариков убивать можно а ну да нефть заканчивается а детей еще народить можно так то вот господин кончаловский и вы это пытаетесь оправдать сваливая все на россию,
Ugi8Fp2VUdmSr3gCoAEC,eufNblKL65s,3 years ago,Sergio Vizant,он наверно думает он прав класиков приплёл рождаемость погибаемость матом ругаемся жопа короче а не страна ну они с братом два ума конечно ну и европа америка и хохлы с ними папа ихний тоже ум одни мы русские всем поперёк горла встали подождём,
UgggXGrR0_Ylw3gCoAEC,zCmV4dX5tgs,3 years ago,Тимофей Мартыненко,ого сколько кремлеботов однако лол крашенинникова типичный представитель нашей власти тупая и лицемерная ни одного вменяемого предложения из себя выдавить не может одни сплошные спекуляции на страхе и ненависти либералы фашызды отвратительно от одного вида такой рожи только майданы и устраивать,
UgizRs6ztLwhE3gCoAEC.7-H0Z7-CS-n7-HHwwjuGl0,V5uy0IGiWkQ,4 years ago,Prorok dadth,трмоз титушек надо карать,
Ugjyta3IlZ60K3gCoAEC,8SqTaE4-5a4,4 years ago,Ксю Муля,чудова пісня слова прямо в ціль,
UgiZp3U6bcDlMXgCoAEC,emN4Sz3uasU,4 years ago,Toy ota,слава беркуту слава титушкам слава пёстам родивших их,
UgiiLrbG5mOa0XgCoAEC.7-H0Z7-Qs6Z7-HflGjkbaf,8SqTaE4-5a4,4 years ago,Pavlo,еще один зомбированный путинский прихвостень,
UgipIeq9RRXP9ngCoAEC,H8ABnhoxhMw,2 years ago,Першеев Иноят,таких как она не только вышибать а на пушечный выстрел не подпускать ведет она себя как шлюха пьяная,
UgieiZkrvf5Bv3gCoAEC,8SqTaE4-5a4,4 years ago,Славік Білецький, підерас нахуй ,
Ugh17jyAGIjclngCoAEC.7-H0Z7-QUi17-IZK0GZU11,eufNblKL65s,3 years ago,Владимир Болгов,"но без неё мрак и вы в принципе с ним согласны вспомните горького
",
UgiPd5p-7xoHCXgCoAEC,eufNblKL65s,3 years ago,Набор Фужеров,посмотрю куда автор ролика побежит если что не дай бог случится,
UghMcmnRj9tMIXgCoAEC.7-H0Z7-R72v709gKjugv9J,XQqzud_sl7U,3 years ago,Idrit Madrit,на хохломове это означает мы поддерживаем тебя и на выборах все за тебя проголосуем,
Ugh33Hrqi0CuvHgCoAEC,H_ToRtwlvpI,4 years ago,sirojjka,грустно всё может месяца три назад был один смысл теперь както совсем другой раньше ментов щемили теперь вообще стреляют да и в остальном украина выздоравливай ,
UgzeeZuiW2BYYQYYVOB4AaABAg.8ad8_wyNI-K8aoROEv6Jxz,XW6hWPZglv8,5 months ago,Alexandr,да это все масоны спасибо путину что не допускает этих агентов госдепа к нам на истинную русь,
UgiDfJT6kNWme3gCoAEC.7-H0Z7-TXmZ7-H3kyYCBMg,vQOAZ4rLhrk,4 years ago,Beat Box,"какой позор какое хамство выносить суждения зарубежному политику высшего эшелона будучи гламурной кисо знающей реальность только из правительственных каналов и смс клубных друзей 
если честно это уже утомило без разницы кто вы слова говорят за себя не знаете о чем рассуждаете узнайте тогда и рассуждайте
души людей отдавших жизнь за лучшее будущее украины еще здесь и смотрят на вас в лучшем случае с сочуствием",
Ugy_kWIpzdXIND36q2B4AaABAg.8Z3kNTmCL568eUyF0_PKip,8SqTaE4-5a4,2 months ago,Софья Лавщенко,антон радионов ,
Ugi5E962u6ziAXgCoAEC,zCmV4dX5tgs,2 years ago,Цветущая Сибирь,логика и последовательность либералов бесподобна здесь играем здесь не играем хочется отправить их в свободные страны туннельное зрение в политике не лечится,
UgjVR3I8gpv5sHgCoAEC.7-H0Z7-PtV07-IMeKmXbhw,zCmV4dX5tgs,4 years ago,ТЕМИНАТОР ЛЮМПИНОВ,да не пизди ты дебил,
UghWfJJw6dyoPXgCoAEC,GGaQ5BDNouM,4 years ago,Александр Иорданский,днем они огнем жгут спецназ а вечером на пианино играютмолодцы ,
Uggehb9xaPPp5HgCoAEC,xTfMbgQqEeg,4 years ago,Jo Yang,евро майдан з ялинки,
UgisFiyTwsE4f3gCoAEC,T6IbEIBhb8o,4 years ago,Михаил Тевосян,путинские ублюдки вы же бляди способствуете распаду не только украиныно и россии подумайте о последствиях войны с собственным народом сурков ты придумал хреновый сценарий,
UghKpYywFa5dXngCoAEC,IqFdatdem64,4 years ago (edited),danilamast,тягнивбокпесня то хорошая но политика дело дрянь,
UghqZ4mUQj8yIXgCoAEC,eP4ggwPaRts,3 years ago,ТУРИСТ ВАЛЕРА,тема,
Ugg0dQ_uuV4aRHgCoAEC,8SqTaE4-5a4,4 years ago,Andrey Andreevich,"вы разрушите свою страну
и разорвете семейные связи сотни тысяч семей потому что в осажденные гражданской войной страны транспортного сообщения нет",
Ugjs5T_CImwsnHgCoAEC,zCmV4dX5tgs,4 years ago,Aleksandr Barinov,россия взяла своё мы рады мы счастливы и нам всё равно что вам так завидно ,
UgyYIbPJs3T46rtfx1h4AaABAg,FRJ5lATBVdA,8 months ago,Chupa Cabra,хуйню несёт,
UgjMNjmkvPzqGXgCoAEC,zCmV4dX5tgs,4 years ago,Саша Кулицкий,да ни хуя не в курсе темы майдан но как они пиздят шоу бля ,
UghEV-Uzq1xUEngCoAEC.7-H0Z7-Auz-7-RGZcjVml0,FXCliOGt0Jc,4 years ago,роман бердичевский,настоящая любовьтратить час времени в день на прослушивание мнения я не могу,
Ugi_iMuIBtnBLHgCoAEC,eufNblKL65s,3 years ago,Виталий Мощенко,собака лаеткараван идёт,
